merchant,category
pump hpcl pos 58052,Fuel
neft kfc#7668,Food & Dining
bigbasket imps 85687,Groceries
hpcl pump upi 0d3b6210,Fuel
transfer upi 398eeda0,Others
imps house cleaning-9431,Services
water bill@7349 imps 70009,Bills & Utilities
upi txn hpcl pump#8292 upi d7d96a7c,Fuel
utr general store upi 73533e4f,Others
hotstar*7895 upi 95a4e16c,Entertainment
neft misc payment&7397,Others
salon service imps 51019,Services
1mg imps 47448,Health & Medical
ajio#9797 pos 45593,Shopping
decathlon upi 52f4a056,Shopping
phonepe hpcl pump pos 28376,Fuel
gift shop upi 4ce86744,Others
gpay blink go cab imps 16775,Travel
dth recharge imps 76963,Bills & Utilities
1mg pos 93798,Health & Medical
big bazaar pos 6717,Groceries
water can delivery-6897,Services
gpay dth recharge pos 31872,Bills & Utilities
upi txn amzn pos 37524,Shopping
medplus upi 1f96e50b,Health & Medical
amazon imps 66395,Shopping
unknown txn imps 14333,Others
paytm mcdnlds upi 66ca6587,Food & Dining
blink go cab imps 66754,Travel
air india imps 27710,Travel
barber pos 21071,Services
meesho imps 18667,Shopping
iocl pump/767 upi 7f8c4bb5,Fuel
spencers upi cc7e9585,Groceries
more supermarket_3010 upi 591366f9,Groceries
barber imps 76036,Services
neft irctc,Travel
shell fuel#866 pos 3787,Fuel
phonepe max hsptl imps 39129,Health & Medical
gpay gift shop pos 53129,Others
transfer pos 3268,Others
shell fuel upi 6b7a2bb8,Fuel
amaon,Shopping
spencers imps 51349,Groceries
vpa urban company!4376,Services
misc payment upi 4e5b5033,Others
decathlon pos 80099,Shopping
zee5 imps 15957,Entertainment
gpay max hsptl@1955,Health & Medical
unknown txn imps 96332,Others
amazon upi 1c00d119,Shopping
iocl pump upi 42d1a8a6,Fuel
ac service upi 11bd066b,Services
neft gift shop pos 26622,Others
swiggy imps 76499,Food & Dining
reliance fresh pos 39259,Groceries
uber pos 79914,Travel
bookmyshow-928 pos 69662,Entertainment
dth recharge imps 16373,Bills & Utilities
ajio imps 26880,Shopping
phonepe zee5 imps 46587,Entertainment
netflix upi e11b9b9f,Entertainment
big bazaar imps 77333,Groceries
bookmyshow pos 62171,Entertainment
barber-441 upi 74133503,Services
iocl pump upi c77fdba6,Fuel
upi txn water can delivery_1045,Services
gas bill upi 6d6de597,Bills & Utilities
txn shop/3485 upi gift pos 28246,Others
1mg!3654 imps 15467,Health & Medical
transfer#4427 pos 18644,Others
reliance fresh upi bcca8fd4,Groceries
upi txn transfer,Others
bpcl petrol upi 09b7a424,Fuel
apollo pharmacy upi a31be785,Health & Medical
misc payment imps 67929,Others
electricity bill*4552 upi 10068fdc,Bills & Utilities
bill/7913 gas,Bills & Utilities
uber vpa upi fffa1ad7,Travel
phonepe airtel recharge,Bills & Utilities
unknown txn imps 25707,Others
vpa bigbasket-9379 imps 96974,Groceries
gpay apollo pharmacy#4236,Health & Medical
bpcl petr upi 3ae35cfd,Fuel
airtel recharge#1113 imps 38628,Bills & Utilities
uber upi 71d45c3f,Travel
bazaar big imps 93312,Groceries
1mg%5420 neft upi be94586e,Health & Medical
gift shop upi 44d905f4,Others
salon service upi 41c8d0e3,Services
vpa spencers&2350 upi 56f2f381,Groceries
gpay big bazaar&6597 pos 12094,Groceries
zee5 pos 67542,Entertainment
indigo airlines pos 53699,Travel
irctc pos 76987,Travel
kfc_4777,Food & Dining
burger king pos 36553,Food & Dining
imps gas bill,Bills & Utilities
grofers pos 36519,Groceries
utr ola upi 18950443,Travel
grofers imps 90625,Groceries
paytm apollo pharmacy@983 upi 6fc9d4f2,Health & Medical
bookmyshow-7909,Entertainment
iocl pump gpay,Fuel
phonepe zmto imps 39611,Food & Dining
urban vpa company!1321 pos 59226,Services
water bill upi 81b5164a,Bills & Utilities
bpcl petr upi 39706a97,Fuel
cafecoffee pos 61850,Food & Dining
spencers imps 91794,Groceries
blink go cab upi 4c6e5459,Travel
utr iocl pump/4218 imps 19664,Fuel
indigo airlines imps 48530,Travel
reliance fresh upi 99421372,Groceries
fuel%7123 shell,Fuel
dmart pos 88704,Groceries
1mg imps 67090,Health & Medical
sony liv imps 25615,Entertainment
spencers upi 6ab118c8,Groceries
pharmeasy pos 29959,Health & Medical
paytm airtel recharge pos 71438,Bills & Utilities
shell fuel upi 6d88d08d,Fuel
vpa pump hpcl imps 31488,Fuel
neft big bazaar*2260,Groceries
water bill pos 88899,Bills & Utilities
upi txn kfc!9197 upi 3299aa4f,Food & Dining
medplus upi f24b49ca,Health & Medical
pharmeasy imps 93774,Health & Medical
subway pos 99383,Food & Dining
blink go cab imps 32890,Travel
ac service upi 259114ec,Services
phonepe amz pos 14657,Shopping
upi txn water can delivery,Services
neft flpcrt,Shopping
phonepe hindustan ptrleum pos 36222,Fuel
vpa burger king pos 23834,Food & Dining
flpkrt upi 912c7314,Shopping
irctc&2238 imps 81586,Travel
dmart upi a0d69cb7,Groceries
blink go cab upi 64d9262f,Travel
gpay ola pos 26086,Travel
imps house cleaning pos 77023,Services
india#9535 air,Travel
gas bill/633 upi a9f4c9e9,Bills & Utilities
imps subway pos 51296,Food & Dining
vpa electricity bill#3657,Bills & Utilities
iocl utr pump pos 46458,Fuel
misc payment upi 16840b91,Others
upi txn big bazaar upi 620a142c,Groceries
phonepe ac service pos 84942,Services
pharmeasy pos 13568,Health & Medical
unknown txn pos 55712,Others
txn upi ola pos 85981,Travel
shop vpa gift,Others
hut!8602 pizza,Food & Dining
imps amzn,Shopping
hotstar/8321 upi 01b8eaad,Entertainment
jio postpaid%3037 upi fa9a7f3d,Bills & Utilities
salon service imps 32861,Services
gas bill imps 71644,Bills & Utilities
phonepe ajio-9818 pos 64312,Shopping
vpa water bill imps 32262,Bills & Utilities
upi txn gas bill pos 20739,Bills & Utilities
ola imps 21987,Travel
rapido upi bb5496b9,Travel
bookmyshow upi d5dab8e7,Entertainment
blink go cab imps 80270,Travel
phonepe hotstar%4900 upi 44e0cd41,Entertainment
max hospital pos 16464,Health & Medical
imps iocl pump@5314 imps 19437,Fuel
1mg/2159,Health & Medical
phonepe unknown txn imps 59617,Others
urban company imps 65520,Services
rapido imps 58027,Travel
amazon imps 80498,Shopping
unknown txn pos 84172,Others
tata cliq pos 7470,Shopping
bpcl petrol upi 69afb9db,Fuel
water can delivery upi f8286a75,Services
blink go cab_2594 upi ca9614d1,Travel
uber!7649 upi 8dd49f89,Travel
transfer-583,Others
gpay ola/4884,Travel
salon neft service upi a7b606c6,Services
amazon prime upi 241022ee,Entertainment
bpcl petrol pos 77142,Fuel
1mg pos 38074,Health & Medical
grofers!7044 pos 32420,Groceries
spencers imps 38145,Groceries
neft bookmyshow*2086 upi 6115aa55,Entertainment
myntra imps 82311,Shopping
vpa zee5_8445 imps 68483,Entertainment
hotel saravana upi 9d1ac6ca,Food & Dining
imps urban company%6495 imps 87849,Services
iocl pump pos 45898,Fuel
hindustan petroleum pos 51701,Fuel
blink go cab imps 59382,Travel
pizza hut@2915,Food & Dining
phonepe bookmyshow imps 68209,Entertainment
grofers_5682 vpa,Groceries
medplus imps 86106,Health & Medical
vpa barber!2705 upi 42e2e80c,Services
gpay bookmyshow!1306 upi 411b977b,Entertainment
pizza hut imps 42833,Food & Dining
bpcl petrol imps 90304,Fuel
utr cafecoffee#3458,Food & Dining
shell fuel-6880 pos 11218,Fuel
recharge%4248 airtel imps imps 22616,Bills & Utilities
pharmeasy pos 21514,Health & Medical
general store pos 48255,Others
urban company imps pos 82111,Services
jio upi txn postpaid upi 9fe4bbc4,Bills & Utilities
urban company upi cec50a88,Services
decathlon upi bb6511a6,Shopping
bpcl petrol imps 87641,Fuel
neft shell fuel,Fuel
barber%5542 imps 54062,Services
rapido upi 893aab35,Travel
bigbasket pos 60009,Groceries
1mg imps 89335,Health & Medical
spencers imps 88891,Groceries
paytm pizza hut pos 73318,Food & Dining
zmt_2002 neft,Food & Dining
indigo airlines imps 72186,Travel
hotstar imps 58878,Entertainment
indigo airlines_7912 pos 32713,Travel
dmart!1312 pos 40221,Groceries
neft dth recharge%9714 imps 74356,Bills & Utilities
irctc upi 162351ff,Travel
meesho upi 80c67ca0,Shopping
ajio imps 41169,Shopping
myntra gpay upi be4231f8,Shopping
hindustan petreum pos 71899,Fuel
misc payment upi 720eced5,Others
electricity bill upi e2b3c457,Bills & Utilities
utr cafecoffee@9973 upi 121c472a,Food & Dining
upi txn ajio imps 90469,Shopping
tata cliq upi c41b148f,Shopping
blink go cab upi 200d038d,Travel
jio postpaid!6746 pos 24174,Bills & Utilities
water bill upi ab29f0f3,Bills & Utilities
ac service imps 85902,Services
paytm ac service pos 60293,Services
gpay spencers&2392 imps 24402,Groceries
sony liv upi 9448d66d,Entertainment
upi iocl pump#1337 txn,Fuel
general store pos 68593,Others
big bazaar-9157 imps 24959,Groceries
pharmeasy imps 47690,Health & Medical
ajio imps 36632,Shopping
meesho upi c1eb3057,Shopping
grofers pos 51510,Groceries
jio postpaid upi 5179c5ba,Bills & Utilities
paytm indigo airlines%4449 upi 483fc233,Travel
phonepe iocl pump&3839 imps 46680,Fuel
pizza hut imps 35839,Food & Dining
max hospital upi 26513dc4,Health & Medical
hpcl pump imps 14591,Fuel
netflix imps 31569,Entertainment
hindustan petroleum upi 090d265e,Fuel
more supermarket pos 32006,Groceries
vpa medplus#7395,Health & Medical
uber upi 123f291f,Travel
unknown txn pos 74441,Others
blink go cab pos 24342,Travel
amz prime-5782 paytm imps 83575,Entertainment
paytm dmart%6969 pos 99815,Groceries
hotstar imps 11238,Entertainment
1mg upi 78dcb8ed,Health & Medical
paytm kfc,Food & Dining
upi txn gas bill upi 21c002b9,Bills & Utilities
dth recharge upi 00e47011,Bills & Utilities
spencers upi d762668a,Groceries
gpay hotel saravana*8737 imps 20043,Food & Dining
zomato pos 12056,Food & Dining
misc payment pos 10003,Others
kfc vpa pos 96518,Food & Dining
imps salon service%9044 imps 90322,Services
barber upi ad0459e8,Services
max hospital imps 43012,Health & Medical
irctc%7676 imps 90226,Travel
paytm gas bill&3874 imps 35580,Bills & Utilities
ac service pos 26292,Services
swiggy upi 5814d9f1,Food & Dining
neft apollo pharmacy,Health & Medical
misc payment@397 utr,Others
paytm airtel recharge,Bills & Utilities
mcdonalds pos 22527,Food & Dining
hpcl pump upi 56e957e2,Fuel
amazon upi 734152d5,Shopping
apollo pharmacy/5319 imps 46855,Health & Medical
neft burger king pos 8626,Food & Dining
swigi imps 29001,Food & Dining
swigi,Food & Dining
cafecoffee upi c4addf34,Food & Dining
go blink neft cab*932 upi 97e29ebe,Travel
imps more supermarket imps 57128,Groceries
medplus-8324 pos 21478,Health & Medical
gpay dmart#6545 imps 56061,Groceries
gift shop pos 51711,Others
meesho imps 68779,Shopping
gift shop upi e80a9976,Others
zee5 pos 77919,Entertainment
hindustan ptrleum%408,Fuel
salon service pos 89393,Services
ajio%4415 imps 54827,Shopping
cafecoffee imps 99703,Food & Dining
india@4337 air,Travel
hotstar imps 43445,Entertainment
reliance fresh&6285,Groceries
subway imps 71494,Food & Dining
bill@8898 gas pos 81573,Bills & Utilities
hpcl pump upi f1b32e34,Fuel
petreum paytm hindustan pos 19350,Fuel
transfer upi 84924457,Others
swg!6760 pos 84275,Food & Dining
hotstar imps 79120,Entertainment
gpay gas bill@9423,Bills & Utilities
vpa bookmyshow*4386 pos 73545,Entertainment
more supermarket-5027 pos 75878,Groceries
imps bookmyshow*8319,Entertainment
shell fuel/1975 imps 78882,Fuel
phonepe max hospitl,Health & Medical
imps bill&9262 gas pos 99464,Bills & Utilities
medplus%9752 pos 56514,Health & Medical
paytm burger king@180 pos 62616,Food & Dining
urban company upi 7ae2f96a,Services
burger king pos 97130,Food & Dining
hotstar@4947 upi 8521bf52,Entertainment
electricity bill*5967 imps 75160,Bills & Utilities
iocl pump imps 83814,Fuel
gas bill upi 46cc00ac,Bills & Utilities
gpay transfer!132 pos 4774,Others
rapido upi 54dd6397,Travel
gas bill upi ff40995a,Bills & Utilities
medplus pos 52608,Health & Medical
hotstar!8223,Entertainment
bpcl petrol imps 46622,Fuel
water can delivery pos 47609,Services
dmart pos 37927,Groceries
gift shop imps 19110,Others
txn dominos upi upi 9302e5e4,Food & Dining
dth recharge imps 11946,Bills & Utilities
urban company upi e3909b3f,Services
grofers imps 56100,Groceries
phonepe spencers upi 3e54a988,Groceries
myntra_292 pos 54345,Shopping
unknown txn pos 16880,Others
upi txn dth recharge!2607,Bills & Utilities
kfc imps 20956,Food & Dining
max hospital upi f04f5bc4,Health & Medical
zomato imps 70005,Food & Dining
neft shop gift imps 88197,Others
apollo pharmacy imps 15657,Health & Medical
neft decathlon pos 56355,Shopping
upi txn kfc imps 69691,Food & Dining
bigbasket upi f5ffa8ab,Groceries
bookmyshow imps 39925,Entertainment
swg pos 62566,Food & Dining
myntra imps 97908,Shopping
paytm pharmeasy!7092 upi 3128f598,Health & Medical
neft misc payment#2994 pos 48887,Others
shell fuel pos 18778,Fuel
electricity bill imps 37903,Bills & Utilities
max hospital pos 33110,Health & Medical
hindustan petreum-2670 pos 79265,Fuel
barber upi 1e0f7809,Services
upi txn hotstar,Entertainment
paytm irctc*3925 imps 63368,Travel
meesho_6829 upi 608a435c,Shopping
store general imps 56185,Others
barber imps 21818,Services
decathlon imps 62136,Shopping
burger king pos 20622,Food & Dining
hpcl pump*9953 imps 30418,Fuel
imps dominos pos 10295,Food & Dining
ajio upi 8746def5,Shopping
1mg upi 6d65bc28,Health & Medical
utr medplus imps 45604,Health & Medical
sony liv upi 3d899883,Entertainment
postpaid jio,Bills & Utilities
hotstar%4212 imps 84960,Entertainment
transfer&1693 pos 75733,Others
indigo airlines upi f7d695c4,Travel
utr jio postpaid%777,Bills & Utilities
gas bill upi c926db96,Bills & Utilities
phonepe subway imps 74234,Food & Dining
max hospital upi 462f32fc,Health & Medical
petrl bpcl upi d81830c8,Fuel
pizza hut pos 79423,Food & Dining
subway upi d56b1f74,Food & Dining
pharmeasy#1698,Health & Medical
gift shop upi cb11f9fc,Others
urban company upi 9e813935,Services
barber imps 42726,Services
gpay house cleaning imps 28150,Services
transfer%7570,Others
mcdonldss imps 64050,Food & Dining
petrleum@3655 hindustan imps 90239,Fuel
vpa misc payment*4811 pos 40052,Others
utr pump_3107 hpcl,Fuel
gas bill/6853 pos 57659,Bills & Utilities
rapido pos 55173,Travel
meesho upi cfcd0063,Shopping
imps 1mg imps 96768,Health & Medical
utr mcds/6141 upi acd33e19,Food & Dining
blink go cab imps 38799,Travel
vpa zmto upi 50429c4f,Food & Dining
urban company imps 43156,Services
water can delivery%501 upi 279d2a8c,Services
apollo pharmacy imps 48513,Health & Medical
barber pos 82489,Services
sony liv imps 61945,Entertainment
myntra upi 43e2d9da,Shopping
medplus imps 25524,Health & Medical
unknown txn imps 68099,Others
imps bigbasket,Groceries
amazon pos 81005,Shopping
txn company*135 upi urban,Services
zee5 pos 62654,Entertainment
can water delivery upi 13c2b895,Services
vpa kfc_4796 upi 4bd02797,Food & Dining
reliance fresh pos 15652,Groceries
recharge#5707 dth pos 17278,Bills & Utilities
neft apollo pharmacy upi bfbfa5ea,Health & Medical
kfc!1674,Food & Dining
hpcl pump pos 92954,Fuel
phonepe salon service pos 91628,Services
imps jio postpaid!1368,Bills & Utilities
water bill upi e83edcd9,Bills & Utilities
cafecoffee pos 72259,Food & Dining
ac service imps 36389,Services
paytm gas bill pos 58224,Bills & Utilities
apollo pharmacy imps 98295,Health & Medical
uber pos 15896,Travel
neft hindustan ptrleum imps 59554,Fuel
vpa hotel saravana imps 26133,Food & Dining
dominos upi 9ec6f089,Food & Dining
water can delivery imps 91198,Services
gpay amz prime imps 64593,Entertainment
grofers upi 57ff43f7,Groceries
bill vpa gas imps 61563,Bills & Utilities
1mg-4627 pos 51636,Health & Medical
hindustan petroleum imps 23621,Fuel
meesho pos 3263,Shopping
ajio upi 57f4b84e,Shopping
max hospital imps 45428,Health & Medical
general store upi b5e323c1,Others
grofers&9641,Groceries
amazon prime pos 58375,Entertainment
dth recharge imps 61093,Bills & Utilities
ac service pos 55263,Services
airtel recharge imps 16183,Bills & Utilities
imps zoma imps 35270,Food & Dining
uber pos 17558,Travel
myntra pos 95791,Shopping
utr grofers-2351 upi d514eab6,Groceries
kfc imps 57888,Food & Dining
bigbasket#1311 upi e9b8b251,Groceries
urban company upi dfa5c269,Services
netflix imps 92087,Entertainment
ola pos 67970,Travel
cleaning@228 house pos 32545,Services
utr 1mg&8455,Health & Medical
ajio upi 5c746b44,Shopping
spencers imps 87379,Groceries
iocl pump upi 0b7d2465,Fuel
prime amz upi 6585f582,Entertainment
amzn phonepe prime upi 0f60a2fc,Entertainment
amazon upi 9e4b2296,Shopping
zee5 upi 896e75eb,Entertainment
can delivery water upi b4d40ba9,Services
dth recharge_5279,Bills & Utilities
paytm hotel saravana#4012 imps 87085,Food & Dining
hpcl pump upi 8e376a3e,Fuel
ola pos 83811,Travel
uber upi 33f820d0,Travel
phonepe netflix upi 14127a94,Entertainment
subway imps 54384,Food & Dining
max hospital upi 30f98196,Health & Medical
unknown txn pos 31293,Others
upi txn gas bill imps 34593,Bills & Utilities
sony liv_8382 imps 81498,Entertainment
cab blink neft go pos 21615,Travel
dominos upi 179cc2b4,Food & Dining
utr house cleaning!4462 imps 14156,Services
imps rapido,Travel
bill#7347 gas upi b374d58c,Bills & Utilities
amazon prime upi e665cde7,Entertainment
iocl pump pos 21128,Fuel
decathlon pos 83468,Shopping
unknown txn imps 28450,Others
utr bookmyshow upi f6eb98c9,Entertainment
hpcl pump pos 56752,Fuel
mcdonalds imps 42260,Food & Dining
airtel recharge pos 24765,Bills & Utilities
upi txn amz prime!1915 pos 92201,Entertainment
neft bookmyshow,Entertainment
electricity bill imps 51887,Bills & Utilities
grofers pos 26598,Groceries
transfer-7563 imps 12627,Others
phonepe misc payment imps 63567,Others
phonepe rapido,Travel
water bill pos 46727,Bills & Utilities
hotstar imps 93935,Entertainment
dth recharge pos 18709,Bills & Utilities
big bazaar@267,Groceries
phonepe shell fuel upi 68791076,Fuel
shell fuel pos 27975,Fuel
paytm unknown txn upi e41bb652,Others
utr txn unknown upi a970acc5,Others
1mg pos 64886,Health & Medical
flipkart pos 2040,Shopping
electricity bill imps 99138,Bills & Utilities
general store pos 54956,Others
shell fuel upi 6ea70a5f,Fuel
reliance fresh pos 44217,Groceries
general store#8605 imps 95801,Others
general store imps 25251,Others
bookmyshow pos 96038,Entertainment
water can delivery imps 93336,Services
gpay more supermarket_9593 imps 99558,Groceries
payment_1318 misc upi 0b276809,Others
phonepe zee5 upi d7e9981b,Entertainment
gpay more supermarket pos 13726,Groceries
medplus imps 98641,Health & Medical
ajio imps 37055,Shopping
neft company urban upi f59f78c8,Services
electricity bill upi 6f7a40d4,Bills & Utilities
medplus upi 0d185cc0,Health & Medical
vpa reliance fresh!2470 upi 73de15fd,Groceries
cafecoffee pos 37564,Food & Dining
gift shop pos 98077,Others
hindustan petroleum imps 71305,Fuel
bigbasket upi 5e461351,Groceries
zee5 pos 39756,Entertainment
apollo pharmacy upi 542f38aa,Health & Medical
transfer pos 88486,Others
bookmyshow upi 604b4b65,Entertainment
irctc imps 80663,Travel
urban company imps 11586,Services
more supermarket gpay pos 21323,Groceries
phonepe subway upi f966895b,Food & Dining
india_6902 air pos 54151,Travel
grofers upi f57843b1,Groceries
grofers imps 71838,Groceries
unknown txn upi cab7a1f5,Others
upi more supermarket txn upi a07db768,Groceries
hotel saravana upi d4c54019,Food & Dining
swiggy upi 0a23ca66,Food & Dining
imps zmt#5191 imps 75340,Food & Dining
electricity bill pos 60246,Bills & Utilities
water can delivery imps 33472,Services
neft transfer%5687 pos 34876,Others
bpcl petrol upi 561f2d96,Fuel
hotstar%7152 upi 2cd8bf36,Entertainment
paytm shell fuel-8014,Fuel
store#9183 general,Others
urban company pos 42260,Services
sony liv upi 5a7062bf,Entertainment
paytm hindustan petreum upi d1ab813a,Fuel
transfer*8048 imps 54936,Others
apollo pharmacy upi af2b794f,Health & Medical
salon service#9436 upi 6da527e7,Services
hotstar pos 2648,Entertainment
bookmyshow upi 108f3676,Entertainment
gift shop*3863 upi 1a33ede2,Others
swiggy imps 77491,Food & Dining
meesho imps 77783,Shopping
irctc-6007 pos 27642,Travel
ajio upi 145e24be,Shopping
general store upi 798719f8,Others
txn big bazaar/8781 upi pos 32410,Groceries
imps sony liv/4629 imps 56519,Entertainment
utr gift shop!684 upi fee8616c,Others
hotstar pos 1643,Entertainment
hpcl pump imps 84300,Fuel
ac service upi a867c154,Services
medplus pos 20533,Health & Medical
general store upi 470cd7e5,Others
blink go cab upi 97b9138a,Travel
utr zee5*8068 pos 20917,Entertainment
india air pos 6153,Travel
amazon imps 38139,Shopping
iocl pump upi 306b8243,Fuel
dmart imps 13704,Groceries
grofers imps 32610,Groceries
phonepe pharmeasy-6408 pos 49456,Health & Medical
1mg upi a286e31e,Health & Medical
subway upi 05185281,Food & Dining
airtel recharge pos 4541,Bills & Utilities
sony liv#3785 pos 29666,Entertainment
meesho&9827,Shopping
imps apollo pharmacy_6693 pos 60300,Health & Medical
bazaar-485 upi big txn imps 29896,Groceries
flipkart pos 14404,Shopping
phonepe zee5 upi fdcd5d99,Entertainment
irctc_3956 upi d79e963d,Travel
hindustan petroleum imps 24605,Fuel
airtel recharge pos 99782,Bills & Utilities
phonepe bookmyshow upi 49685b85,Entertainment
neft zee5_9943 imps 62222,Entertainment
iocl pump upi 86149d3e,Fuel
jio postpaid*8145 pos 77463,Bills & Utilities
spencers pos 47567,Groceries
unknown txn*7773 imps 13631,Others
hotstar pos 69688,Entertainment
hotstar imps 84066,Entertainment
kfc imps 79193,Food & Dining
transfer pos 10549,Others
utr mcds&9602 upi 6664fb2e,Food & Dining
imps rapido%6225 imps 30163,Travel
dth recharge upi 41a3ba51,Bills & Utilities
air india upi 7b4e3c32,Travel
sony liv pos 88148,Entertainment
grofers/7903 upi 4b31d33d,Groceries
dmart upi 76582124,Groceries
grofers imps 94176,Groceries
utr sony liv&3798 imps 11500,Entertainment
ajio upi e07fb9fa,Shopping
unknown txn upi aa1878ed,Others
zmt,Food & Dining
electricity bill pos 3183,Bills & Utilities
imps bpcl ptrl*3298 upi dbe9c982,Fuel
decathlon-8189,Shopping
utr hpcl pump imps 37093,Fuel
gas bill pos 62439,Bills & Utilities
paytm subway upi b1f6e906,Food & Dining
mcdonldss!4895 imps 88544,Food & Dining
gpay more supermarket/5244 upi 42b4b26e,Groceries
hindustan petroleum upi 52050c6c,Fuel
spencers pos 78638,Groceries
big bazaar pos 81276,Groceries
transfer upi ad35c843,Others
shell fuel upi b88b8756,Fuel
paytm pharmeasy!922,Health & Medical
air india upi 40e6c4fe,Travel
gas bill imps 92696,Bills & Utilities
neft spencers@203 upi c6c47fac,Groceries
vpa iocl pump upi 6f2ddbad,Fuel
subway pos 78200,Food & Dining
rapido pos 1470,Travel
decathlon pos 70067,Shopping
medplus pos 98907,Health & Medical
imps gift shop/5144 upi 8595481d,Others
hindustan petroleum upi 0617da85,Fuel
neft flpcrt imps 98566,Shopping
paytm burger king pos 19255,Food & Dining
phonepe unknown txn/2314,Others
barber*9981 upi 908212b7,Services
imps water can delivery upi f8e269b6,Services
big bazaar upi b4239126,Groceries
misc payment#8490 imps 40303,Others
supermarket!2360 more,Groceries
imps electricity bill%580 imps 29612,Bills & Utilities
medplus pos 9381,Health & Medical
rapido upi 145c58a9,Travel
misc payment imps 88488,Others
water can delivery imps 76484,Services
unknown txn imps 33958,Others
imps mcdonldss upi 5a1b64fd,Food & Dining
pharmeasy imps 53818,Health & Medical
upi txn urban company,Services
dmart imps 58289,Groceries
ola imps 71836,Travel
medplus!1717 upi 0a430846,Health & Medical
reliance fresh-591 upi ea1a0044,Groceries
pharmeasy pos 26412,Health & Medical
misc payment upi 3e4ab414,Others
air india imps 17335,Travel
1mg-4943 pos 92265,Health & Medical
utr swggy,Food & Dining
hotstar upi 83dda612,Entertainment
petreum!8904 hindustan gpay imps 51555,Fuel
amazon prime upi bb83b863,Entertainment
electricity bill!5434 upi a7e47119,Bills & Utilities
ac service upi e40f77cc,Services
meesho imps 78745,Shopping
ac service@5778 pos 56089,Services
upi txn water bill,Bills & Utilities
amazon prime upi 4cec97b6,Entertainment
imps hindustan petrleum/1925 upi c1fbcf3a,Fuel
flipkart imps 19425,Shopping
netflix upi 0fac6bfd,Entertainment
bookmyshow upi f71a1f33,Entertainment
electricity bill%8337,Bills & Utilities
tata cliq&7304,Shopping
max hospital imps 22625,Health & Medical
apollo pharmacy pos 44959,Health & Medical
upi txn zee5 pos 63551,Entertainment
zee5 imps 42353,Entertainment
gift shop upi cafa3dcd,Others
kfc paytm,Food & Dining
1mg&4364,Health & Medical
paytm dth recharge&7558 imps 17313,Bills & Utilities
1mg upi 332cc7c2,Health & Medical
gas bill upi a3baaf0f,Bills & Utilities
reliance fresh imps 69862,Groceries
decathlon upi fb25ba0a,Shopping
more supermarket imps 80380,Groceries
vpa blink go cab upi 55287375,Travel
paytm transfer-133 upi 50b8ed39,Others
air india imps 41940,Travel
uber imps 39033,Travel
upi txn dominos/8471 imps 70561,Food & Dining
spencers pos 53542,Groceries
utr gift shop_6732 imps 66634,Others
sony liv upi 123abaa5,Entertainment
ac service pos 62924,Services
paytm indigo airlines pos 33601,Travel
imps tata cliq*2935 upi e5199345,Shopping
reliance fresh upi 8812bcee,Groceries
imps payment/1990 misc upi 1675cefd,Others
airtel recharge_3384 imps 60722,Bills & Utilities
gpay mcdnlds,Food & Dining
1mg pos 52292,Health & Medical
jio postpaid pos 63470,Bills & Utilities
indigo airlines upi b94713fc,Travel
vpa barber imps 71288,Services
hotstar imps 81244,Entertainment
water bill_2687 pos 68576,Bills & Utilities
dth recharge pos 17416,Bills & Utilities
decathlon imps 83988,Shopping
ajio upi 94920bc8,Shopping
gas bill_2289 pos 93840,Bills & Utilities
vpa air india!9566 pos 77901,Travel
indigo airlines upi 0cdb4b9a,Travel
more supermarket pos 41037,Groceries
bookmyshow imps 67868,Entertainment
electricity bill upi 5f3e1bf8,Bills & Utilities
subway pos 56505,Food & Dining
paytm grofers%8453 pos 59857,Groceries
iocl pump imps 16038,Fuel
swiggy imps 15462,Food & Dining
bill electricity imps 93131,Bills & Utilities
general store imps 17682,Others
tata cliq upi 7ec0806c,Shopping
netflix imps 30514,Entertainment
barber upi dbf04d26,Services
irctc imps 14618,Travel
pharmeasy upi 43ae3018,Health & Medical
ajio upi 7811878e,Shopping
sony liv imps 97680,Entertainment
shell fuel/3405,Fuel
rapido imps 43657,Travel
jio postpaid pos 86062,Bills & Utilities
phonepe grofers,Groceries
imps blink cab go upi ae95fd0e,Travel
max hospital pos 86626,Health & Medical
apollo pharmacy imps 57384,Health & Medical
shell paytm fuel imps 38653,Fuel
meesho pos 46559,Shopping
paytm indigo airlines upi a50749c7,Travel
rapido pos 54635,Travel
bpcl paytm petr,Fuel
misc payment pos 4903,Others
jio postpaid pos 40388,Bills & Utilities
zomato upi 8cd56023,Food & Dining
airtel recharge upi b27b8110,Bills & Utilities
hpcl pump imps 40995,Fuel
barber pos 12091,Services
utr more supermarket imps 60683,Groceries
max hsptl,Health & Medical
gift shop upi d465823f,Others
airtel recharge@1069 pos 38802,Bills & Utilities
amazon prime upi b920ea2a,Entertainment
phonepe misc payment imps 34935,Others
max hospital imps 19779,Health & Medical
house cleaning pos 63267,Services
service ac pos 62973,Services
ajio pos 29409,Shopping
hpcl pump pos 84466,Fuel
apollo pharmacy pos 1290,Health & Medical
netflix upi c6191325,Entertainment
unknown imps txn upi 56514776,Others
imps water bill/356 imps 71821,Bills & Utilities
myntra upi b5aad0eb,Shopping
transfer imps 47930,Others
neft salon service_8694 upi abc52f16,Services
paytm ola,Travel
pump iocl paytm upi f77a5e52,Fuel
